branch,block_no,room_no,bench_no,enrollment_no
CSE,B-11,222,12,2303051051382
CSE,B-11,222,22,2403051057131
CSE,B-11,222,3,2403051057099
CSE,B-11,222,13,2303051050808
CSE,B-11,222,23,2303051050002
CSE,B-11,222,4,2303051050085
CSE,B-11,222,14,2303051050494
CSE,B-11,222,24,2303051050914
CSE,B-11,222,5,2303051051073
CSE,B-11,222,15,2303051050935
CSE,B-11,222,25,2303051050260
CSE,B-11,222,6,2303051051214
CSE,B-11,222,16,2403051057110
CSE,B-11,222,26,2303051050616
CSE,B-11,222,7,2303051050070
CSE,B-11,222,17,2303051050044
CSE,B-11,222,27,2303051051091
CSE,B-11,222,8,2303051050905
CSE,B-11,222,18,2303051050609
CSE,B-11,222,28,2303051051069
CSE,B-11,222,9,2303051050299
CSE,B-11,222,19,2303051050894
CSE,B-11,222,29,2303051050241
CSE,B-11,222,10,2303051050382
CSE,B-11,222,20,2303051050614
CSE,B-11,222,30,2303051050868
CSE,B-11,222,1,2303051051277
CSE,B-11,222,11,2303051050071
CSE,B-11,222,21,2303051050184
CSE,B-11,222,2,2303051050551
CSE,B-11,222,12,2303051050024
CSE,B-11,222,22,2303051050201
CSE,B-11,222,3,2303051050010
CSE,B-11,222,13,2303051050386
CSE,B-11,222,23,2303051050206
CSE,B-11,222,4,2403051057031
CSE,B-11,222,14,2303051050655
CSE,B-11,222,24,2303051050207
CSE,B-11,222,5,2303051050315
CSE,B-11,222,15,2303051050012
CSE,B-11,222,25,2303051050217
CSE,B-11,222,6,2303051050016
CSE,B-11,222,16,2303051050046
CSE,B-11,222,26,2303051050237
CSE,B-11,222,7,2303051050784
CSE,B-11,222,17,2303051050065
CSE,B-11,222,27,2303051050249
CSE,B-11,222,8,2303051050105
CSE,B-11,222,18,2303051050091
CSE,B-11,222,28,2303051050252
CSE,B-11,222,9,2303051050771
CSE,B-11,222,19,2303051050093
CSE,B-11,222,29,2303051050268
CSE,B-11,222,10,2303051051263
CSE,B-11,222,20,2303051050141
CSE,B-11,222,30,2303051050276
CSE,B-13,224,1,2303051050303
CSE,B-13,224,11,2303051050463
CSE,B-13,224,21,2303051050623
CSE,B-13,224,2,2303051050327
CSE,B-13,224,12,2303051050477
CSE,B-13,224,22,2303051050786
CSE,B-13,224,3,2303051050332
CSE,B-13,224,13,2303051050507
CSE,B-13,224,23,2303051050795
CSE,B-13,224,4,2303051050342
CSE,B-13,224,14,2303051050519
CSE,B-13,224,24,2303051050850
CSE,B-13,224,5,2303051050357
CSE,B-13,224,15,2303051050558
CSE,B-13,224,25,2303051050875
CSE,B-13,224,6,2303051050374
CSE,B-13,224,16,2303051050572
CSE,B-13,224,26,2303051050889
CSE,B-13,224,7,2303051050394
CSE,B-13,224,17,2303051050577
CSE,B-13,224,27,2303051050911
CSE,B-13,224,8,2303051050404
CSE,B-13,224,18,2303051050603
CSE,B-13,224,28,2303051050947
CSE,B-13,224,9,2303051050409
CSE,B-13,224,19,2303051050604
CSE,B-13,224,29,2303051050988
CSE,B-13,224,10,2303051050430
CSE,B-13,224,20,2303051050622
CSE,B-13,224,30,2303051051016
CSE,B-13,224,1,2303051051034
CSE,B-13,224,11,2303051051285
CSE,B-13,224,21,2403051057137
CSE,B-13,224,2,2303051051039
CSE,B-13,224,12,2303051051299
CSE,B-13,224,22,2303051050288
CSE,B-13,224,3,2303051051061
CSE,B-13,224,13,2303051051412
CSE,B-13,224,23,2303051051368
CSE,B-13,224,4,2303051051080
CSE,B-13,224,14,2303051051421
CSE,B-13,224,24,2303051050142
CSE,B-13,224,5,2303051051099
CSE,B-13,224,15,2303051051459
CSE,B-13,224,25,2403051057128
CSE,B-13,224,6,2303051051142
CSE,B-13,224,16,2403051057007
CSE,B-13,224,26,2303051050333
CSE,B-13,224,7,2303051051215
CSE,B-13,224,17,2403051057077
CSE,B-13,224,27,2303051050063
CSE,B-13,224,8,2303051051244
CSE,B-13,224,18,2403051057079
CSE,B-13,224,28,2303051051001
CSE,B-13,224,9,2303051051267
CSE,B-13,224,19,2403051057098
CSE,B-13,224,29,2303051050253
CSE,B-13,224,10,2303051051283
CSE,B-13,224,20,2403051057106
CSE,B-13,224,30,2303051051043
CSE,B-15,226,1,2303051050515
CSE,B-15,226,11,2303051050966
CSE,B-15,226,21,2303051050982
CSE,B-15,226,2,2303051051463
CSE,B-15,226,12,2403051057040
CSE,B-15,226,22,2303051051171
CSE,B-15,226,3,2303051050197
CSE,B-15,226,13,2303051050089
CSE,B-15,226,23,2303051050043
CSE,B-15,226,4,2403051057060
CSE,B-15,226,14,2303051050629
CSE,B-15,226,24,2303051051026
CSE,B-15,226,5,2303051050644
CSE,B-15,226,15,2303051050389
CSE,B-15,226,25,2303051051005
CSE,B-15,226,6,2303051050523
CSE,B-15,226,16,2303051050987
CSE,B-15,226,26,2403051057015
